density,rep_num,car_flow
0.0,0,0.0
0.0,1,0.0
0.0,2,0.0
0.05263157894736842,0,0.25
0.05263157894736842,1,0.0
0.05263157894736842,2,0.0
0.10526315789473684,0,0.25
0.10526315789473684,1,0.25
0.10526315789473684,2,0.0
0.15789473684210525,0,0.0
0.15789473684210525,1,0.0
0.15789473684210525,2,0.25
0.21052631578947367,0,0.25
0.21052631578947367,1,0.25
0.21052631578947367,2,0.0
0.2631578947368421,0,0.0
0.2631578947368421,1,0.0
0.2631578947368421,2,0.5
0.3157894736842105,0,0.5
0.3157894736842105,1,0.25
0.3157894736842105,2,0.25
0.3684210526315789,0,0.5
0.3684210526315789,1,0.25
0.3684210526315789,2,0.25
0.42105263157894735,0,0.5
0.42105263157894735,1,0.25
0.42105263157894735,2,0.25
0.47368421052631576,0,0.5
0.47368421052631576,1,0.25
0.47368421052631576,2,0.5
0.5263157894736842,0,0.5
0.5263157894736842,1,0.25
0.5263157894736842,2,0.25
0.5789473684210527,0,0.5
0.5789473684210527,1,0.25
0.5789473684210527,2,0.5
0.631578947368421,0,0.0
0.631578947368421,1,0.5
0.631578947368421,2,0.25
0.6842105263157894,0,0.25
0.6842105263157894,1,0.25
0.6842105263157894,2,0.25
0.7368421052631579,0,0.25
0.7368421052631579,1,0.0
0.7368421052631579,2,0.0
0.7894736842105263,0,0.0
0.7894736842105263,1,0.25
0.7894736842105263,2,0.25
0.8421052631578947,0,0.25
0.8421052631578947,1,0.0
0.8421052631578947,2,0.0
0.894736842105263,0,0.0
0.894736842105263,1,0.0
0.894736842105263,2,0.0
0.9473684210526315,0,0.0
0.9473684210526315,1,0.0
0.9473684210526315,2,0.0
1.0,0,0.0
1.0,1,0.0
1.0,2,0.0
